rank,gene,log2fc_a_vs_b,score,pct_expr_a,pct_expr_b,mean_a,mean_b,result_mode,color_column,group_a_label,group_a_kind,group_a_column,group_a_value,group_a_n_cells,group_a_scope,group_a_restriction_column,group_a_restriction_value,group_b_label,group_b_kind,group_b_column,group_b_value,group_b_n_cells,group_b_scope,group_b_restriction_column,group_b_restriction_value,loaded_gene_count,total_gene_count,exported_at
57,Knstrn,0.772434910832685,3.860502487789206,0.049332344213649855,0.03351718285956724,0.22547344593690483,0.13199818523748477,full-sidecar,leiden,leiden = 0,annotation,leiden,0,2696,all,,,leiden = 1,annotation,leiden,1,2357,all,,,4671,4671,2026-05-20T11:23:18.294Z
58,Cxcr4,0.3873655961133437,3.8552558006646036,0.1513353115727003,0.13619007212558337,0.7142278877493182,0.5460443938744488,full-sidecar,leiden,leiden = 0,annotation,leiden,0,2696,all,,,leiden = 1,annotation,leiden,1,2357,all,,,4671,4671,2026-05-20T11:23:18.294Z
59,Dbnl,0.5266605494899735,3.8319716492682487,0.09161721068249258,0.07382265591854052,0.4277754659468767,0.2969441698120467,full-sidecar,leiden,leiden = 0,annotation,leiden,0,2696,all,,,leiden = 1,annotation,leiden,1,2357,all,,,4671,4671,2026-05-20T11:23:18.294Z
60,Yeats4,0.8372445062837226,3.797540604743369,0.04191394658753709,0.027577428935086974,0.19384463312717856,0.1084966450158347,full-sidecar,leiden,leiden = 0,annotation,leiden,0,2696,all,,,leiden = 1,annotation,leiden,1,2357,all,,,4671,4671,2026-05-20T11:23:18.294Z
61,Cd27,4.205617159406402,3.795517352138708,0.006305637982195846,0.00042426813746287653,0.02686157097448581,0.0014548970320794256,full-sidecar,leiden,leiden = 0,annotation,leiden,0,2696,all,,,leiden = 1,annotation,leiden,1,2357,all,,,4671,4671,2026-05-20T11:23:18.294Z
62,Usp32,0.5638859321128271,3.7945589598935747,0.07974777448071217,0.06406448875689436,0.37668255245650206,0.25481698540342423,full-sidecar,leiden,leiden = 0,annotation,leiden,0,2696,all,,,leiden = 1,annotation,leiden,1,2357,all,,,4671,4671,2026-05-20T11:23:18.294Z
63,Sphk1,0.9253084544593883,3.779587353999929,0.03523738872403561,0.02206194314806958,0.1610589909978012,0.08480802500809356,full-sidecar,leiden,leiden = 0,annotation,leiden,0,2696,all,,,leiden = 1,annotation,leiden,1,2357,all,,,4671,4671,2026-05-20T11:23:18.294Z
64,Racgap1,0.6962001694372444,3.74317743245285,0.054525222551928786,0.04030547305897327,0.2521770190591274,0.15564217980149747,full-sidecar,leiden,leiden = 0,annotation,leiden,0,2696,all,,,leiden = 1,annotation,leiden,1,2357,all,,,4671,4671,2026-05-20T11:23:18.294Z
65,Hnrnpa1,0.2282934377559868,3.7352994779665805,0.3182492581602374,0.3050487908358082,1.535350884722673,1.3106430307201373,full-sidecar,leiden,leiden = 0,annotation,leiden,0,2696,all,,,leiden = 1,annotation,leiden,1,2357,all,,,4671,4671,2026-05-20T11:23:18.294Z
66,Rad9a,0.9319105752033107,3.667069795044592,0.03301186943620178,0.019940602460755196,0.15138853896265567,0.07935190494150543,full-sidecar,leiden,leiden = 0,annotation,leiden,0,2696,all,,,leiden = 1,annotation,leiden,1,2357,all,,,4671,4671,2026-05-20T11:23:18.294Z
67,Sfpq,0.31213973877433054,3.6654596646669533,0.19770029673590506,0.18031395842172254,0.9224411459634141,0.7429765877098565,full-sidecar,leiden,leiden = 0,annotation,leiden,0,2696,all,,,leiden = 1,annotation,leiden,1,2357,all,,,4671,4671,2026-05-20T11:23:18.294Z
68,Fmr1,0.6096824978281314,3.6649772402286045,0.0663946587537092,0.05006364022061943,0.3004614105917933,0.1969043097862208,full-sidecar,leiden,leiden = 0,annotation,leiden,0,2696,all,,,leiden = 1,annotation,leiden,1,2357,all,,,4671,4671,2026-05-20T11:23:18.294Z
69,Anln,0.6638192310020226,3.65581857035211,0.056750741839762614,0.04242681374628765,0.2696301284458941,0.17019154360904298,full-sidecar,leiden,leiden = 0,annotation,leiden,0,2696,all,,,leiden = 1,annotation,leiden,1,2357,all,,,4671,4671,2026-05-20T11:23:18.294Z
70,Cdk5rap2,0.7984444011153479,3.646435595746454,0.041172106824925815,0.028850233347475603,0.1926427709065842,0.11076315945369185,full-sidecar,leiden,leiden = 0,annotation,leiden,0,2696,all,,,leiden = 1,annotation,leiden,1,2357,all,,,4671,4671,2026-05-20T11:23:18.294Z
71,Srrm1,0.3841977935321765,3.6454834933062883,0.14020771513353117,0.1247348324140857,0.653216568139611,0.5004975185790809,full-sidecar,leiden,leiden = 0,annotation,leiden,0,2696,all,,,leiden = 1,annotation,leiden,1,2357,all,,,4671,4671,2026-05-20T11:23:18.294Z
72,Ptpa,0.3705722535379513,3.63852510114472,0.14985163204747776,0.1302503182011031,0.6982014288003792,0.5400415650352766,full-sidecar,leiden,leiden = 0,annotation,leiden,0,2696,all,,,leiden = 1,annotation,leiden,1,2357,all,,,4671,4671,2026-05-20T11:23:18.294Z
73,Isg20,0.30364744926805715,3.6238346071018106,0.19955489614243324,0.18879932117098006,0.9584893884043312,0.7765692909946369,full-sidecar,leiden,leiden = 0,annotation,leiden,0,2696,all,,,leiden = 1,annotation,leiden,1,2357,all,,,4671,4671,2026-05-20T11:23:18.294Z
74,Alox15,0.9862716042205114,3.5864431200445943,0.028931750741839762,0.01697072549851506,0.13722826889785178,0.06926967392647525,full-sidecar,leiden,leiden = 0,annotation,leiden,0,2696,all,,,leiden = 1,annotation,leiden,1,2357,all,,,4671,4671,2026-05-20T11:23:18.294Z
75,Diaph3,0.6583711097961302,3.5716173213052955,0.05489614243323442,0.0415782774713619,0.2557866677686086,0.1620643419080434,full-sidecar,leiden,leiden = 0,annotation,leiden,0,2696,all,,,leiden = 1,annotation,leiden,1,2357,all,,,4671,4671,2026-05-20T11:23:18.294Z
76,Sell,0.3973812249348103,3.561696945384365,0.12722551928783382,0.1120067882901994,0.6026577064297673,0.4575587000743686,full-sidecar,leiden,leiden = 0,annotation,leiden,0,2696,all,,,leiden = 1,annotation,leiden,1,2357,all,,,4671,4671,2026-05-20T11:23:18.294Z
77,Dhfr,0.9339911247052192,3.560606669465901,0.03115727002967359,0.018667798048366567,0.14082933940236575,0.07371077711520481,full-sidecar,leiden,leiden = 0,annotation,leiden,0,2696,all,,,leiden = 1,annotation,leiden,1,2357,all,,,4671,4671,2026-05-20T11:23:18.294Z
78,Snx5,0.33841250164978043,3.559966737737402,0.16543026706231453,0.1501909206618583,0.766673402103543,0.6063703162517394,full-sidecar,leiden,leiden = 0,annotation,leiden,0,2696,all,,,leiden = 1,annotation,leiden,1,2357,all,,,4671,4671,2026-05-20T11:23:18.294Z
79,Lck,1.6059282379795894,3.5395889988411047,0.013724035608308606,0.005091217649554518,0.06351438067433389,0.02086534265446167,full-sidecar,leiden,leiden = 0,annotation,leiden,0,2696,all,,,leiden = 1,annotation,leiden,1,2357,all,,,4671,4671,2026-05-20T11:23:18.294Z
80,Il1rl1,1.64112727459215,3.449346636226255,0.012611275964391691,0.004666949512091642,0.05803227513055773,0.01860480840599633,full-sidecar,leiden,leiden = 0,annotation,leiden,0,2696,all,,,leiden = 1,annotation,leiden,1,2357,all,,,4671,4671,2026-05-20T11:23:18.294Z
81,H2afz,0.37201094108531807,3.4305373701669524,0.13353115727002968,0.11794654221467968,0.6189728378365231,0.478282987236926,full-sidecar,leiden,leiden = 0,annotation,leiden,0,2696,all,,,leiden = 1,annotation,leiden,1,2357,all,,,4671,4671,2026-05-20T11:23:18.294Z
