rank,gene,log2fc_a_vs_b,score,pct_expr_a,pct_expr_b,mean_a,mean_b,result_mode,color_column,region_a_id,region_a_label,region_a_section_id,region_a_n_cells,region_b_id,region_b_label,region_b_section_id,region_b_n_cells,loaded_gene_count,total_gene_count,exported_at
67,Kcna4,1.4480862687065714,10.821812555139132,0.26296829971181557,0.10020449897750511,0.173771624885478,0.06368793080616095,full-sidecar,cell_class_updated,1,Annotation 1,RB4630,1388,2,Annotation 2,RB4630,2445,5101,5101,2026-04-16T13:29:06.829Z
68,Fbxl16,1.13368821465999,10.757204309995506,0.3256484149855908,0.17586912065439672,0.2427041978180752,0.11061168106421371,full-sidecar,cell_class_updated,1,Annotation 1,RB4630,1388,2,Annotation 2,RB4630,2445,5101,5101,2026-04-16T13:29:06.829Z
69,Foxo1,1.1647994048391288,10.745859278876498,0.32204610951008644,0.1394683026584867,0.23597669513407632,0.10525125158162205,full-sidecar,cell_class_updated,1,Annotation 1,RB4630,1388,2,Annotation 2,RB4630,2445,5101,5101,2026-04-16T13:29:06.829Z
70,Itga5,3.7992602736558276,10.257132154727529,0.10806916426512968,0.0049079754601227,0.06459029019952507,0.0046386226067026215,full-sidecar,cell_class_updated,1,Annotation 1,RB4630,1388,2,Annotation 2,RB4630,2445,5101,5101,2026-04-16T13:29:06.829Z
71,Ryr1,1.9824839519030302,10.209150086177385,0.16930835734870317,0.04049079754601227,0.1055308477013702,0.026704235158571194,full-sidecar,cell_class_updated,1,Annotation 1,RB4630,1388,2,Annotation 2,RB4630,2445,5101,5101,2026-04-16T13:29:06.829Z
72,Htr2c,2.69312412752658,10.148479231313946,0.12680115273775217,0.020858895705521473,0.0745853955189158,0.011532164205071384,full-sidecar,cell_class_updated,1,Annotation 1,RB4630,1388,2,Annotation 2,RB4630,2445,5101,5101,2026-04-16T13:29:06.829Z
73,Ppargc1b,1.3840545066299366,10.142626890122472,0.23703170028818443,0.10429447852760736,0.1486423950137769,0.05695030681316594,full-sidecar,cell_class_updated,1,Annotation 1,RB4630,1388,2,Annotation 2,RB4630,2445,5101,5101,2026-04-16T13:29:06.829Z
74,Akap9,1.3353828572996236,10.033316857689744,0.25144092219020175,0.10715746421267894,0.16361098341450567,0.06483628393316561,full-sidecar,cell_class_updated,1,Annotation 1,RB4630,1388,2,Annotation 2,RB4630,2445,5101,5101,2026-04-16T13:29:06.829Z
75,Sytl5,2.2460801081455575,9.957809575505166,0.14337175792507204,0.02985685071574642,0.09245429322209413,0.01948821268564353,full-sidecar,cell_class_updated,1,Annotation 1,RB4630,1388,2,Annotation 2,RB4630,2445,5101,5101,2026-04-16T13:29:06.829Z
76,Fam20c,1.5243278877580222,9.911198872618268,0.20389048991354466,0.0834355828220859,0.12606565819607687,0.043824998866804785,full-sidecar,cell_class_updated,1,Annotation 1,RB4630,1388,2,Annotation 2,RB4630,2445,5101,5101,2026-04-16T13:29:06.829Z
77,Stk32a,2.9490545342136385,9.821395868726448,0.10878962536023054,0.013496932515337423,0.06312026361524199,0.008172758664090209,full-sidecar,cell_class_updated,1,Annotation 1,RB4630,1388,2,Annotation 2,RB4630,2445,5101,5101,2026-04-16T13:29:06.829Z
